Year,Player,Age,School,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,Agility_3cone,Shuttle,BMI,Player_Type,Position_Type,Position,Drafted,Team ,Round,Pick,Year,Skilled,Speed,First_Round_Pick
2009,Rashad Johnson\JohnRa98,23,Alabama,1.8034,92.07925111,4.49,93.98,15,304.8,7.09,4.23,28.31246274,defense,defensive_back,FS,1,Arizo Cardils , 3rd ,95,2009,1,Fast,0
2009,Chris Owens\OwenCh99,22,San Jose St.,1.778,82.10021897,4.44,87.63,14,279.4,6.93,4.16,25.97052937,defense,defensive_back,CB,1,Atlanta Falcons , 3rd ,90,2009,1,Fast,0
2009,William Moore\MoorWi99,23,Missouri,1.8288,100.2439138,4.49,93.98,16,312.42,6.81,4.26,29.97268077,defense,defensive_back,SS,1,Atlanta Falcons , 2nd ,55,2009,1,Fast,0
2009,Lardarius Webb\WebbLa99,23,Nicholls St.,1.778,81.19303423,4.35,92.71,15,307.34,6.77,4.1,25.6835622,defense,defensive_back,CB,1,Baltimore Ravens , 3rd ,88,2009,1,Fast,0
2009,Captain Munnerlyn\MunnCa99,20,South Caroli,1.7272,82.55381134,4.41,95.25,19,307.34,7.15,4.2,27.67272134,defense,defensive_back,CB,1,Caroli Panthers , 7th ,216,2009,1,Fast,0
2009,Sherrod Martin\MartSh99,24,Troy,1.8542,89.81128926,4.43,91.44,12,312.42,6.6,3.98,26.12268282,defense,defensive_back,CB,1,Caroli Panthers , 2nd ,59,2009,1,Fast,0
2009,D.J. Moore\MoorDJ99,21,Vanderbilt,1.7526,87.08973504,4.56,100.33,17,299.72,7.01,4.28,28.35315255,defense,defensive_back,CB,1,Chicago Bears , 4th ,119,2009,1,Slow,0
2009,Morgan Trent\TrenMo99,23,Michigan,1.8542,87.54332741,4.5,96.52,23,322.58,7.05,4.01,25.46301912,defense,defensive_back,CB,1,Cincinti Bengals , 6th ,179,2009,1,Fast,0
2009,Coye Francies\FranCo99,22,San Jose St.,1.8288,83.91458845,4.63,91.44,24,312.42,6.81,4.24,25.09025313,defense,defensive_back,CB,1,Cleveland Browns , 6th ,191,2009,1,Slow,0
2009,DeAngelo Smith\SmitDe98,22,Cincinti,1.8034,87.99691978,4.5,80.01,17,276.86,7.27,4.35,27.0572304,defense,defensive_back,CB,1,Dallas Cowboys , 5th ,143,2009,1,Fast,0
2009,Michael Hamlin\HamlMi99,23,Clemson,1.8796,97.06876718,4.57,95.25,17,297.18,7.14,4.42,27.47569212,defense,defensive_back,SS,1,Dallas Cowboys , 5th ,166,2009,1,Slow,0
2009,Darcel McBath\McBaDa99,23,Texas Tech,1.8288,89.81128926,4.53,96.52,14,302.26,6.8,4.16,26.853352,defense,defensive_back,FS,1,Denver Broncos , 2nd ,48,2009,1,Slow,0
2009,Alphonso Smith\SmitAl98,23,Wake Forest,1.7526,87.54332741,4.47,86.36,13,317.5,7.09,4.38,28.50082522,defense,defensive_back,CB,1,Denver Broncos , 2nd ,37,2009,1,Fast,0
2009,David Bruton\BrutDa99,21,Notre Dame,1.8796,99.33672903,4.4,105.41,19,335.28,6.6,4.28,28.11764754,defense,defensive_back,FS,1,Denver Broncos , 4th ,114,2009,1,Fast,0
2009,Louis Delmas\DelmLo99,21,West. Michigan,1.8034,91.62565874,4.52,93.98,12,320.04,6.67,4.17,28.17299248,defense,defensive_back,FS,1,Detroit Lions , 2nd ,33,2009,1,Slow,0
2009,Brandon Underwood\UndeBr99,22,Cincinti,1.8542,89.81128926,4.48,92.71,16,317.5,7,4.2,26.12268282,defense,defensive_back,FS,1,Green Bay Packers , 6th ,187,2009,1,Fast,0
2009,Glover Quin\QuinGl99,23,New Mexico,1.8034,92.53284348,4.5,96.52,22,302.26,7.39,4.43,28.451933,defense,defensive_back,FS,1,Houston Texans , 4th ,112,2009,1,Fast,0
2009,Troy Nolan\NolaTr99,22,Arizo St.,1.8288,93.44002822,4.58,80.01,12,297.18,7.06,4.3,27.93833592,defense,defensive_back,FS,1,Houston Texans , 7th ,223,2009,1,Slow,0
2009,Jerraud Powers\PoweJe99,21,Auburn,1.7526,85.27536556,4.43,92.71,15,309.88,7.09,4.08,27.76246187,defense,defensive_back,CB,1,Indiapolis Colts , 3rd ,92,2009,1,Fast,0
2009,Dold Washington\WashDo98,22,Ohio St.,1.8288,89.35769689,4.5,114.3,9,342.9,6.84,4.2,26.71772901,defense,defensive_back,CB,1,Kansas City Chiefs , 4th ,102,2009,1,Fast,0
